Timestamp,Score,What grade level are you?,How often do you feel positive in school?,How often do you feel supported by your teachers and advisors?,How often do you feel listened to by your teachers and advisors?,How often do you feel listened to and supported by your friends?,How do you feel you are managing the workload?,To what extent do you feel the workload is making you feel stressed?,"Overall, how do you feel about the first few months of school?"
5/22/2025 7:50:30,,8,7,,9,7,7,8,10
5/22/2025 7:50:48,,9,8,8,8,8,7,7,8
5/22/2025 7:51:07,,8,10,10,10,10,8,7,10
5/22/2025 7:51:09,,8,7,6,7,8,7,8,10
5/22/2025 7:51:32,,8,8,10,9,10,7,8,7
5/22/2025 7:51:36,,8,8,7,8,8,7,5,8
5/22/2025 7:52:06,,6,9,10,9,9,7,4,9
5/22/2025 7:52:13,,6,8,9,10,9,8,6,9
5/22/2025 7:52:20,,8,8,7,7,8,4,3,6
5/22/2025 7:52:22,,8,3,8,6,9,6,2,4
5/22/2025 7:52:24,,6,9,10,10,6,9,6,10
5/22/2025 7:52:24,,8,8,7,8,7,6,6,8
5/22/2025 7:52:30,,6,9,9,9,7,9,8,9
5/22/2025 7:52:41,,6,8,9,9,10,6,4,10
5/22/2025 7:52:43,,9,8,8,8,8,8,6,7
5/22/2025 7:52:51,,6,7,9,8,6,8,4,2
5/22/2025 7:52:56,,8,7,6,7,7,7,5,7
5/22/2025 7:52:56,,8,6,7,7,9,3,3,6
5/22/2025 7:53:00,,6,9,10,9,8,8,9,10
5/22/2025 7:53:03,,6,9,10,10,8,9,9,9
5/22/2025 7:53:08,,6,8,9,9,8,9,8,9
5/22/2025 7:53:14,,6,6,10,8,7,5,3,9
5/22/2025 7:53:29,,8,7,8,8,4,3,6,8
5/22/2025 7:53:58,,8,9,9,9,10,8,8,10
5/22/2025 7:54:02,,6,8,9,8,9,7,7,8
5/22/2025 7:54:16,,6,9,9,9,9,8,5,9
5/22/2025 7:54:17,,7,8,7,7,4,7,3,4
5/22/2025 7:54:22,,6,8,10,9,8,9,9,9
5/22/2025 7:54:28,,6,9,9,10,8,8,10,9
5/22/2025 7:54:52,,6,9,10,8,9,8,8,7
5/22/2025 7:54:56,,6,7,8,8,9,9,8,8
5/22/2025 7:55:04,,6,10,10,10,10,10,10,1
5/22/2025 7:55:21,,6,9,9,8,9,9,7,8
5/22/2025 7:55:28,,6,7,8,9,10,7,4,8
5/22/2025 7:55:33,,6,9,4,1,8,1,3,7
5/22/2025 7:55:33,,6,7,8,8,8,8,7,8
5/22/2025 7:55:35,,6,7,9,8,7,7,7,8
5/22/2025 7:55:58,,6,8,10,8,6,7,8,10
5/22/2025 7:56:06,,6,8,9,9,8,7,7,8
5/22/2025 7:56:39,,9,9,10,10,10,7,8,10
5/22/2025 7:57:32,,8,6,9,10,7,7,5,6
5/22/2025 7:58:11,,6,8,7,7,7,6,7,7
5/22/2025 7:58:32,,6,9,8,8,9,6,6,10
5/22/2025 7:58:56,,8,8,6,6,6,6,8,5
5/22/2025 7:59:03,,8,7,7,7,7,6,3,7
5/22/2025 7:59:06,,8,7,8,8,8,6,4,9
5/22/2025 7:59:18,,,,,,,,,6
5/22/2025 7:59:22,,8,6,10,10,5,8,4,7
5/22/2025 8:00:14,,8,9,10,10,9,7,7,10
5/22/2025 8:00:26,,8,8,9,10,8,6,4,10
5/22/2025 8:01:33,,8,1,7,7,10,1,1,1
5/22/2025 8:02:03,,8,4,3,3,10,2,3,5
5/22/2025 8:02:03,,8,9,10,8,1,7,6,8
5/22/2025 8:02:52,,9,10,10,10,10,10,10,10
5/22/2025 8:03:57,,6,7,7,7,7,6,6,8
5/22/2025 8:04:30,,10,6,6,6,6,6,5,5
5/22/2025 8:05:27,,10,8,8,8,8,9,3,7
5/22/2025 8:05:29,,10,7,8,7,9,7,7,7
5/22/2025 8:05:38,,6,9,10,10,8,9,9,9
5/22/2025 8:05:51,,10,8,8,8,8,6,4,5
5/22/2025 8:05:53,,9,8,7,8,7,8,3,5
5/22/2025 8:05:58,,6,6,7,9,10,5,5,7
5/22/2025 8:06:01,,6,7,8,8,9,8,7,9
5/22/2025 8:06:07,,6,9,9,9,10,8,2,10
5/22/2025 8:06:09,,10,8,8,7,8,8,7,5
5/22/2025 8:06:35,,9,9,9,9,10,8,7,8
5/22/2025 8:06:45,,6,10,9,9,10,8,9,10
5/22/2025 8:06:50,,10,8,8,8,8,8,8,8
5/22/2025 8:07:06,,10,10,10,10,10,8,9,10
5/22/2025 8:07:06,,6,7,7,7,7,7,3,5
5/22/2025 8:07:16,,9,7,7,7,7,5,8,7
5/22/2025 8:07:36,,9,8,5,6,7,4,3,7
5/22/2025 8:07:45,,9,7,7,7,7,10,10,8
5/22/2025 8:07:52,,6,7,7,9,8,7,4,8
5/22/2025 8:07:55,,9,8,7,,8,7,7,9
5/22/2025 8:07:58,,6,7,8,7,6,9,8,7
5/22/2025 8:08:07,,10,9,8,8,9,8,3,9
5/22/2025 8:08:13,,6,7,8,7,6,9,8,7
5/22/2025 8:08:14,,6,10,8,8,9,7,8,10
5/22/2025 8:09:24,,9,9,8,8,8,8,5,8
5/22/2025 8:09:25,,10,8,8,8,9,7,5,10
5/22/2025 8:10:04,,10,9,10,10,8,8,3,8
5/22/2025 8:11:24,,9,9,9,9,9,9,9,9
5/22/2025 8:13:52,,6,8,10,10,8,9,6,10
5/22/2025 8:23:11,,10,9,9,9,9,9,9,9
5/22/2025 8:38:30,,9,8,10,10,10,6,8,7
5/22/2025 8:55:19,,10,9,9,8,8,8,3,3
5/22/2025 10:05:13,,8,7,8,8,8,8,4,4
5/22/2025 10:59:07,,7,7,6,7,5,4,3,6
5/22/2025 11:21:36,,10,9,9,9,9,9,9,9
5/22/2025 11:59:37,,9,8,8,9,9,7,4,8
5/22/2025 12:40:25,,6,9,8,9,8,,4,8
5/22/2025 13:38:01,,,,,,,,,
5/22/2025 13:44:31,,9,9,8,8,8,7,5,7
5/22/2025 13:51:57,,7,6,7,7,5,4,2,5
5/22/2025 13:53:45,,7,8,10,10,8,5,5,5
5/22/2025 13:56:34,,7,7,3,6,7,4,6,8
5/22/2025 13:57:28,,7,8,9,10,8,7,6,10
5/22/2025 13:57:28,,7,10,7,8,8,5,5,7
5/22/2025 13:57:49,,10,5,5,5,7,3,2,5
5/22/2025 14:07:16,,7,8,9,9,7,9,7,8
5/22/2025 16:39:12,,7,6,8,8,9,4,8,5
5/22/2025 16:58:05,,10,8,10,10,10,8,7,9
5/22/2025 18:18:44,,7,7,1,1,8,7,4,4
5/22/2025 18:53:15,,9,10,5,6,4,2,9,1
5/22/2025 21:06:44,,8,8,8,8,9,6,9,7
5/22/2025 21:31:14,,7,6,7,7,6,5,5,5
5/22/2025 22:00:23,,7,8,8,9,9,8,5,8
5/22/2025 23:16:55,,,,,,,,8,8
5/22/2025 23:51:48,,8,10,10,10,10,8,7,9
5/23/2025 7:46:00,,,,,,,,,8
5/24/2025 21:35:09,,7,4,5,7,6,6,8,8
5/26/2025 8:22:25,,7,7,7,7,8,7,8,7
5/26/2025 13:50:50,,8,8,5,3,9,3,3,6
5/26/2025 13:51:19,,8,8,8,8,8,8,8,8
5/26/2025 13:51:34,,8,7,7,7,9,7,7,7
5/26/2025 13:53:03,,8,9,7,7,10,10,9,10
5/28/2025 4:29:47,,6,,10,10,10,10,10,10
5/28/2025 13:58:17,,9,7,8,8,9,7,6,8
5/28/2025 13:58:17,,9,6,8,9,9,8,4,8
5/28/2025 13:58:21,,9,9,9,9,9,9,2,9
5/28/2025 13:58:56,,9,7,7,8,10,8,9,8
5/28/2025 14:01:59,,9,9,9,9,5,9,9,7
5/28/2025 14:02:23,,9,9,9,9,9,9,9,6
5/28/2025 14:02:25,,9,8,7,7,9,7,7,8
5/28/2025 14:07:15,,9,10,10,9,9,8,7,9
5/28/2025 14:14:23,,9,9,9,9,9,9,9,9
5/28/2025 23:13:05,,7,8,5,5,7,8,6,6
5/29/2025 21:25:08,,7,8,8,8,10,4,2,7
5/31/2025 11:53:05,,7,10,10,10,10,10,10,10